Deal_id,Deal_created_at,Deal_Value,Deal_Stage,Deal _Status,Deal_Email_messages_count,Deal_Total_activities,Deal_Currency,Deal_Region
Adlud_deal_d154,11/12/2019 14:49,141176.47,Contacted,Won,0,0,HKD,APAC & RESELLERS
Adlud_deal_d155,24/05/2019 13:30,141176,Contacted,Lost,0,3,HKD,APAC & RESELLERS
Adlud_deal_d156,03/04/2019 13:22,141176,Contacted,Lost,0,0,HKD,APAC & RESELLERS
Adlud_deal_d157,17/11/2020 07:44,141176,Contacted,Won,0,1,HKD,APAC & RESELLERS
Adlud_deal_d158,23/01/2020 10:49,140000,Contacted,Lost,0,0,HKD,APAC & RESELLERS
Adlud_deal_d159,31/07/2020 04:49,140000,Contacted,Lost,0,0,HKD,APAC & RESELLERS
Adlud_deal_d160,23/06/2020 17:07,140000,RFP,Won,0,0,USD,US
Adlud_deal_d161,17/10/2019 10:12,135294.12,Contacted,Won,0,1,HKD,APAC & RESELLERS
Adlud_deal_d042,01/05/2019 18:04,130000,RFP,Won,0,0,USD,US
Adlud_deal_d162,22/12/2020 01:27,130000,RFP,Won,0,0,USD,US
Adlud_deal_d163,19/03/2019 23:14,129640,RFP,Won,35,0,USD,US
Adlud_deal_d164,12/06/2019 09:50,129411,Contacted,Won,0,8,HKD,APAC & RESELLERS
Adlud_deal_d165,08/01/2019 05:21,127585.12,Contacted,Deleted,0,17,GBP,APAC & RESELLERS
Adlud_deal_d166,19/02/2020 15:16,125000,Contacted,Lost,0,0,USD,UK & EUROPE
Adlud_deal_d167,12/04/2019 11:04,124705.88,Contacted,Won,0,5,HKD,APAC & RESELLERS
Adlud_deal_d168,05/06/2020 06:01,122641,Contacted,Won,0,0,HKD,APAC & RESELLERS
Adlud_deal_d169,23/03/2020 09:00,120000,IO Sent,Deleted,0,0,HKD,APAC & RESELLERS
Adlud_deal_d170,08/09/2020 07:21,120000,RFP,Open,0,1,HKD,APAC & RESELLERS
Adlud_deal_d171,18/11/2020 05:23,120000,IO Sent,Deleted,3,0,HKD,APAC & RESELLERS
Adlud_deal_d172,20/08/2019 13:37,120000,IO Sent,Deleted,2,0,HKD,APAC & RESELLERS
Adlud_deal_d173,20/01/2020 09:55,120000,IO Sent,Deleted,4,0,HKD,APAC & RESELLERS
Adlud_deal_d174,11/02/2020 09:50,120000,IO Sent,Deleted,4,0,HKD,APAC & RESELLERS
Adlud_deal_d175,03/01/2019 07:34,120000,Contacted,Lost,0,4,HKD,APAC & RESELLERS
Adlud_deal_d176,03/01/2019 07:42,120000,Contacted,Lost,0,1,HKD,APAC & RESELLERS
Adlud_deal_d177,12/02/2019 13:38,120000,Contacted,Lost,0,9,HKD,APAC & RESELLERS
Adlud_deal_d178,23/04/2019 13:43,120000,Contacted,Lost,0,11,HKD,APAC & RESELLERS
Adlud_deal_d179,22/05/2019 14:08,120000,Contacted,Lost,0,7,HKD,APAC & RESELLERS
Adlud_deal_d180,27/05/2019 13:42,120000,Contacted,Lost,0,1,HKD,APAC & RESELLERS
Adlud_deal_d181,20/08/2019 13:36,120000,Contacted,Lost,0,3,HKD,APAC & RESELLERS
Adlud_deal_d182,29/08/2019 10:40,120000,Contacted,Lost,0,2,HKD,APAC & RESELLERS
Adlud_deal_d183,09/09/2019 09:52,120000,Contacted,Lost,0,2,HKD,APAC & RESELLERS
Adlud_deal_d184,05/03/2020 10:14,120000,Contacted,Lost,0,1,HKD,APAC & RESELLERS
Adlud_deal_d185,12/06/2020 06:43,120000,Contacted,Lost,0,1,HKD,APAC & RESELLERS
Adlud_deal_d186,02/07/2020 06:08,120000,Contacted,Lost,0,1,HKD,APAC & RESELLERS
Adlud_deal_d187,10/07/2020 11:09,120000,Contacted,Lost,0,3,HKD,APAC & RESELLERS
Adlud_deal_d188,27/10/2020 08:11,120000,Contacted,Lost,0,1,HKD,APAC & RESELLERS
Adlud_deal_d189,27/10/2020 08:12,120000,Contacted,Lost,0,1,HKD,APAC & RESELLERS
Adlud_deal_d190,17/11/2020 07:46,120000,Contacted,Lost,0,2,HKD,APAC & RESELLERS
Adlud_deal_d191,17/06/2020 17:13,120000,RFP,Lost,0,0,GBP,UK & EUROPE
Adlud_deal_d192,18/08/2020 04:30,120000,RFP,Lost,0,0,USD,APAC & RESELLERS
Adlud_deal_d193,28/10/2020 13:35,120000,Contacted,Lost,0,0,HKD,APAC & RESELLERS
